"V1","V2","V3","V4","V5"
"19890925",1200,-1200,14.3,"YSI"
"19890925",1200,-1100,18.7,"YSI"
"19890925",1200,-1000,19,"YSI"
"19890925",1200,-900,19,"YSI"
"19890925",1200,-800,19,"YSI"
"19890925",1200,-700,19,"YSI"
"19890925",1200,-600,19,"YSI"
"19890925",1200,-500,19,"YSI"
"19890925",1200,-400,19,"YSI"
"19890925",1200,-300,19,"YSI"
"19890925",1200,-200,19,"YSI"
"19890925",1200,-100,19,"YSI"
"19890925",1200,0,18.8,"YSI"
"19891009",1200,-2200,8.7,"YSI"
"19891009",1200,-2100,8.8,"YSI"
"19891009",1200,-2000,8.9,"YSI"
"19891009",1200,-1900,9.2,"YSI"
"19891009",1200,-1800,10,"YSI"
"19891009",1200,-1700,10,"YSI"
"19891009",1200,-1600,11.6,"YSI"
"19891009",1200,-1500,14.3,"YSI"
"19891009",1200,-1400,15.2,"YSI"
"19891009",1200,-1300,15.2,"YSI"
"19891009",1200,-1200,15.2,"YSI"
"19891009",1200,-1100,15.2,"YSI"
"19891009",1200,-1000,15.2,"YSI"
"19891009",1200,-900,15.2,"YSI"
"19891009",1200,-800,15.2,"YSI"
"19891009",1200,-700,15.2,"YSI"
"19891009",1200,-600,15.2,"YSI"
"19891009",1200,-500,15.2,"YSI"
"19891009",1200,-400,15.2,"YSI"
"19891009",1200,-300,15.2,"YSI"
"19891009",1200,-200,15.2,"YSI"
"19891009",1200,-100,15.2,"YSI"
"19891009",1200,0,15.2,"YSI"
"19891112",1200,-2200,9.2,"YSI"
"19891112",1200,-2100,10.2,"YSI"
"19891112",1200,-2000,10.3,"YSI"
"19891112",1200,-1900,10.3,"YSI"
"19891112",1200,-1800,10.3,"YSI"
"19891112",1200,-1700,10.3,"YSI"
"19891112",1200,-1600,10.3,"YSI"
"19891112",1200,-1500,10.3,"YSI"
"19891112",1200,-1400,10.3,"YSI"
"19891112",1200,-1300,10.3,"YSI"
"19891112",1200,-1200,10.4,"YSI"
"19891112",1200,-1100,10.4,"YSI"
"19891112",1200,-1000,10.4,"YSI"
"19891112",1200,-900,10.4,"YSI"
"19891112",1200,-800,10.4,"YSI"
"19891112",1200,-700,10.4,"YSI"
"19891112",1200,-600,10.4,"YSI"
"19891112",1200,-500,10.4,"YSI"
"19891112",1200,-400,10.4,"YSI"
"19891112",1200,-300,10.3,"YSI"
"19891112",1200,-200,10.3,"YSI"
"19891112",1200,-100,10.3,"YSI"
"19891112",1200,0,10.2,"YSI"
"19891227",1200,-2200,4,"YSI"
"19891227",1200,-2100,4,"YSI"
"19891227",1200,-2000,4,"YSI"
"19891227",1200,-1900,4,"YSI"
"19891227",1200,-1800,4,"YSI"
"19891227",1200,-1700,4,"YSI"
"19891227",1200,-1600,4,"YSI"
"19891227",1200,-1500,4,"YSI"
"19891227",1200,-1400,4,"YSI"
"19891227",1200,-1300,4,"YSI"
"19891227",1200,-1200,4,"YSI"
"19891227",1200,-1100,4,"YSI"
"19891227",1200,-1000,4,"YSI"
"19891227",1200,-900,3.5,"YSI"
"19891227",1200,-800,1.5,"YSI"
"19891227",1200,-700,1.5,"YSI"
"19891227",1200,-600,1.5,"YSI"
"19891227",1200,-500,1.5,"YSI"
"19891227",1200,-400,1.5,"YSI"
"19891227",1200,-300,1.5,"YSI"
"19891227",1200,-200,1.5,"YSI"
"19891227",1200,-100,1.5,"YSI"
"19891227",1200,0,1.5,"YSI"
"19900126",1200,-2200,4.1,"YSI"
"19900126",1200,-2100,4.2,"YSI"
"19900126",1200,-2000,4.2,"YSI"
"19900126",1200,-1900,4.2,"YSI"
"19900126",1200,-1800,4.1,"YSI"
"19900126",1200,-1700,4.1,"YSI"
"19900126",1200,-1600,4.1,"YSI"
"19900126",1200,-1500,4.1,"YSI"
"19900126",1200,-1400,4.1,"YSI"
"19900126",1200,-1300,4.1,"YSI"
"19900126",1200,-1200,4.1,"YSI"
"19900126",1200,-1100,4.1,"YSI"
"19900126",1200,-1000,4.1,"YSI"
"19900126",1200,-900,4.1,"YSI"
"19900126",1200,-800,4.1,"YSI"
"19900126",1200,-700,4.1,"YSI"
"19900126",1200,-600,4.1,"YSI"
"19900126",1200,-500,4.1,"YSI"
"19900126",1200,-400,4.1,"YSI"
"19900126",1200,-300,4.1,"YSI"
"19900126",1200,-200,4.1,"YSI"
"19900126",1200,-100,4,"YSI"
"19900126",1200,0,1.2,"YSI"
"19900216",1200,-2300,4.4,"YSI"
"19900216",1200,-2200,4.4,"YSI"
"19900216",1200,-2100,4.3,"YSI"
"19900216",1200,-2000,4.2,"YSI"
"19900216",1200,-1900,4.2,"YSI"
"19900216",1200,-1800,4.2,"YSI"
"19900216",1200,-1700,4.2,"YSI"
"19900216",1200,-1600,4.2,"YSI"
"19900216",1200,-1500,4.2,"YSI"
"19900216",1200,-1400,4.2,"YSI"
"19900216",1200,-1300,4.2,"YSI"
"19900216",1200,-1200,4.2,"YSI"
"19900216",1200,-1100,4.3,"YSI"
"19900216",1200,-1000,4.3,"YSI"
"19900216",1200,-900,4.3,"YSI"
"19900216",1200,-800,4.3,"YSI"
"19900216",1200,-700,4.3,"YSI"
"19900216",1200,-600,4.3,"YSI"
"19900216",1200,-500,4.3,"YSI"
"19900216",1200,-400,4.3,"YSI"
"19900216",1200,-300,4.3,"YSI"
"19900216",1200,-200,4.3,"YSI"
"19900216",1200,-100,4.2,"YSI"
"19900216",1200,0,1.9,"YSI"
"19900325",1200,-2200,5,"YSI"
"19900325",1200,-2100,5.2,"YSI"
"19900325",1200,-2000,5.3,"YSI"
"19900325",1200,-1900,5.5,"YSI"
"19900325",1200,-1800,5.6,"YSI"
"19900325",1200,-1700,5.7,"YSI"
"19900325",1200,-1600,5.8,"YSI"
"19900325",1200,-1500,5.8,"YSI"
"19900325",1200,-1400,5.8,"YSI"
"19900325",1200,-1300,5.8,"YSI"
"19900325",1200,-1200,5.8,"YSI"
"19900325",1200,-1100,5.8,"YSI"
"19900325",1200,-1000,5.8,"YSI"
"19900325",1200,-900,5.8,"YSI"
"19900325",1200,-800,5.8,"YSI"
"19900325",1200,-700,5.8,"YSI"
"19900325",1200,-600,5.8,"YSI"
"19900325",1200,-500,5.9,"YSI"
"19900325",1200,-400,5.9,"YSI"
"19900325",1200,-300,5.9,"YSI"
"19900325",1200,-200,5.9,"YSI"
"19900325",1200,-100,6,"YSI"
"19900325",1200,0,6,"YSI"
"19900429",1200,-2300,6.5,"YSI"
"19900429",1200,-2200,6.5,"YSI"
"19900429",1200,-2100,6.6,"YSI"
"19900429",1200,-2000,6.6,"YSI"
"19900429",1200,-1900,6.7,"YSI"
"19900429",1200,-1800,6.7,"YSI"
"19900429",1200,-1700,6.8,"YSI"
"19900429",1200,-1600,7,"YSI"
"19900429",1200,-1500,7,"YSI"
"19900429",1200,-1400,7.1,"YSI"
"19900429",1200,-1300,7.3,"YSI"
"19900429",1200,-1200,7.5,"YSI"
"19900429",1200,-1100,7.8,"YSI"
"19900429",1200,-1000,8.1,"YSI"
"19900429",1200,-900,8.5,"YSI"
"19900429",1200,-800,8.7,"YSI"
